,review_comment_message,review_score
391,"O pedido chegou antes do combinado, muito bom.",4
392,produto entregue conforme anunciado.,4
394,recebe apenas 01 peça do produto! estou precisando da 2 peças restante! ,3
395,LOJA 10,5
396,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",4
398,Nem fizeram a nota fiscal ,1
399,"Chegou antes do prazo!
Produto excelente!",5
404,trabalho com profissionalismo das lojas lannister. indico com certeza,4
408,"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",1
409,super recomendo o produto que é muito bom!,5
410,"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. ",5
411," A loja postou o produto de e mediato o correio demorou um pouco
",4
412,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",5
413,Muito bom desde da compra a entrega td direitinho e rapido,4
414,Tudo ok!,5
419,A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,1
420,Entrega e qualidade do produto de acordo com o esperado.,5
421,Excelente recomendo,5
422,"A bolsa e muito bonita por fora
Mas dentro não tem forro 
E é bem fragil 
",3
426,"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",1
427,"muito bom, recomendo o produto.",4
430,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,5
432,bom em todos os aspectos,4
440,Até hoje estou satisfeito com a sbmarino,5
443,Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,1
445,Gostei!,5
455,"Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem.",3
456,Chegou antes do prazo é a cabeceira é linda.,5
459,"Houve alguma confusão entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois.",3
463,10,5
464,Gostei do produto chegou no tempo certo os vendedores estão de parabéns,5
467,Atendimento excelente,5
468,Gostei ,4
471,No dia 19 de maio usei e a à alça quebrou sem muito peso ,1
472,Toalha do maior campeão do Brasil maravilhosa ,5
473,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",5
477,Até agora tudo bem estou esperando a entrega do produto,5
479,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",5
483,"O produto foi entregue antes do prazo.
",5
486,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",4
488,comprei o produto na cor preta e chegou na cor vermelha.,2
492,"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",5
493,"otimo
",4
496,Pensei que a mochila fosse um material mais resistente.,2
499,"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado ",1
501,o produto demora muita para chegar !,1
505,"So recebemos um relogio pelo correio

att
",3
511,"entrega rápida, produto conforme esperado",5
512,Tudo como anunciado....Ótimo produto...,5
513,"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais.",3
514,"Somente foi entregue uma unidade, ao invés de duas.",1
515," adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",4
517,Muito satisfeito.,5
518,Otimo produto porem caro demais !!! ,4
520,"Produtos otimos, entrega rápida.
Super recomendo!!!",5
522,"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
",2
525,Ainda não recebi,1
526,Tive um pós venda excelente através do Sr Renato,5
528,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",5
529,Muito bom,5
530,"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",1
533,"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",5
535,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,5
537,"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",4
538,"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",1
539,Loja Nota 10,4
541,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,5
542,"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",1
543,Muito bom mesmo!,5
544,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",2
545,Entrega antes do prazo produto muito bem conservado. ,5
546,Produto de ótima qualidade. Adorei!,5
549,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",5
551,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,2
552,"Não recebi o produto, assim como nenhum contato por parte do .vendedor",1
555,Nem ratrear estou conseguindo:(,1
556,nota 10,5
557,Esperando o instalador,3
558,"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega",2
559,Ótimo serviço,5
560,"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",4
561,veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,1
564,"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",1
566,Perfeitos😁,5
567,"O preço foi ótimo, o prazo de entrega que é longo (mais de 1 mês para entregar). Comprei 2 cartuchos e entregaram apenas 1, reclamei e enviaram o outro ainda dentro do prazo de entrega.",3
570,"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",5
571,"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",5
574,MUITO BOM! CHEGOU DENTRO DO PRAZO.,4
576,"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
",5
577,"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.",2
580,só poderia entregar mais rápido fim de ano ,5
582,"Otima Venda, tudo perfeito.",5
591,Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3,5
593,"Veio bem embalado, Envio rápido! ",5
595,Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!,5
597,"Até agora não recebi nada, a colcha estava prevista para anteontem(18/12) e até agora nada",3
599,"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado ",1
600,Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! ,5
604,Indico a loja compro sempre na lannister .,4
606,"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",1
609,"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",5
612,Boa compra.,4
616,"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita.",4
618,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,5
620,Comprei 02 só enviaram 01,3
622,"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio.",2
624,"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",1
628,Entrega e produto perfeito!,5
630,Parabéns 😤 pelo excelente atendimento de qualidade.,5
633,Produto entregue antecipadamente.,4
635,gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,5
638,"Super recomendo, stark Sempre chegando antes da dta prevista =D",5
639,Correios não entregou ,4
641,"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe",4
642,ainda não recebi o produto,3
643,"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",1
644,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",5
646,"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",1
647,O pedido chegou antes do prazo. Obrigada.,5
648,Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta. ,1
650,"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo.",4
651,O tampo da mesa chegou todo amassado e batido.,1
652,Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.,2
656,O relógio é lindo e a entrega foi muito rápida. Recomendo!,5
660,"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo",5
662,"Como sempre, excelente serviço.",5
664,Até o momento eu n recebir o produto,1
666,Como sempre lannister entrega certinho,4
669,"Produto perfeito, chegou antes do prazo!",5
671,"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. ",5
672,Muito bom o produto e preço cobrado!,1
674,Sdds ,5
675,muito bom o produto.Recomendo,5
680,entrega dentro do prazo isso é importante. ,5
681,"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",5
683,"O aparelho chegou apresentando defeito, não está apresentando todas as funções no visor digital.",3
685,O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca,2
686,No aguardo de um retorno urgente.,1
688,"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",1
690,Só recebi um produto. Consta que já recebi os dois. Não recebi a sapateira. ,3
692,Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo ,1
693,Excelente produto indico a qualquer pessoa.,2
694,tudo certinho entrega no prazo ótimo.,5
698,Não recebi o produto.e agora?,1
704,Chegou amassado... ,3
709,Recomendo!,4
711,"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",1
713,Ótimo perfume. Fragrância maravilhosa. Recomendo,5
716,muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!,4
717,O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. ,5
721,entrega rapida,5
724,"Previsão de entrega até 18/10, recebi em 05/10, excelente.",5
726,SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO,3
727,Loja em si é boa pena a americana nao da suporte ao cliente ,5
729,Exatamente o que eu precisava ,5
730,"Achei a qualidade do produto muito ruim, não veio nenhuma bucha ou parafuso para fixar na parede.",3
731,"Obrigada, chegou mto rápido",5
734,O único problema é que a marcação de data é a marcação americana.,4
735,Acho que o produto deveria ter um prazo de validade maior.,4
740,"Entrega antes do prazo, recomendo essa loja.",5
743,show ,5
745,Boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada ,3
754,"Excelente produto, bonito e sofisticado.",5
755,Não veio a nota fiscal,4
756,"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",5
757,Entrega rápida produto conforme anunciado,5
760,"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",1
761,A cortina não é o modelo que pedi. |,1
762,A impressão está saindo com a tinta fraquinha...,3
765,Comprei Rosa com Braços Brancos e entregam toda Preta ?,1
766,Preciso de uma previsão.,1
767,Estou muito satisfeita chegou antes do prazo super recomendo ,5
769,Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. ,4
772,"Entrega dentro do prazo, produto sem nenhum problema",4
774,bom,5
775,Boa qualidade e preço.,5
780,Sempre entrega antes do prazo.,5
784,muito bom.super recomendo.entrega sempre certa.,5
785,"Boas Pessoal, a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar ??? O que será que aconteceu ???",3
787,Entregue antes do prazo! Produto perfeito!,5
789,"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos.",5
790,Gostei de ter comprado nesta loja. Atendimento perfeito.,5
793,"Comprei uma cadeira, recebi no prazo, porém a cadeira veio quebrada na parte inferior. Poderiam ter um maior cuidado na embalagem.",3
794,Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,5
796,ENTREGA MUITO RAPIDA ,5
800,O produto foi entregue bem antes do prazo.adorei,5
802,Ainda nao instalei mais gostei muito,5
804,Bom produto. Entrega rápida. Recomendo,5
806,Produto recebido no prazo e em perfeitas condições.,5
807,muito bom,5
810,"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! ",1
811,"ótima compra
mas o frete nao compensa,pesa no orçamento.
devia ter frete grates
",3
812,N/a,5
813,"O produto chegou como eu imaginava,por enquanto estou gostando
",4
816,Ótima rápida na entrega OBRIGADO ,5
818,Penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue ,2
819,"Produto bom, prazo bom...",5
821,Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum ,5
823,Bonito e de boa qualidade. Adorei ,5
826,O produto chegou antes do prazo. ,5
833,"Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone
",1
834,Vendedor compromisso do vou o cliente,5
837,"O produto não atendeu minhas espectativas, pois os potinhos são dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem",3
842,Muito satisfeito entrega super rápida.. Show ..parabéns.. eu vacilei e comprei um celular nas casas Bahia tem quase um mês e não entregaram.. ,5
846,ótimo,5
847,Tudo cento e no prazo recomento,5
849,Não recebi o jogo na cor tabaco. Só o vermelho. ,1
851,"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..",1
853,Compra perfeita. ,5
859,O produto veio estragado,1
862,"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
",1
863,PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.,1
866,"Recebi apenas 1 caixa com 100 unidades, e pedi 2 caixas. ",3
869,COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?,1
870,"Recomendo esta loja entrega direitinho
",4
871,"Tudo conforme e entrega muito rápida!!!! Que pena que não verifiquei a cor, pois era preta e precisava de cinza. Outro ponto que tive que lixar pouco para funcionar, mas nada demais.",4
874,Entrega rapida e correta,5
875,Produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço.,4
878,Produto veio com amassados e também não está funcionando corretamente.,1
879,Gostei do produto,4
882,Produto de ótima qualidade,5
885,Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação. ,1
888,Estou aguardando posição da empresa para fazer a devolução do produto.,1
892,fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.,1
893,Recomendo está loja.,5
896,Ótimo produto. ,5
898,Excelente,5
900,"Continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. Primeira vez que compro e vou comprar muitas. Obrigado.",5
901,"Adorei. Moderno, bonito, meu cantinho do café vai ficar top",5
902,"bom , foi o que esperava.",4
903,"Tudo correu como combinado, nada a reclamar.",4
907,"De fácil manuseio, até o presente atende as expectativas. ",4
908,Relógio lindo entrega antes do prazo,5
912,Veio conforme o anunciado simples mais bonita. ,4
914,Produto condiz com o anúncio ,5
915,O produto ainda não chegou,1
916,satisfeito eu recomendo,4
919,"Amei, chegou rapidinho, ainda vou testa-lo.Obrigado!!",5
922,Gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda,5
924,Ainda não recebi o produto...,1
